Stufe;Begründung;Adresse;Art;Quelle;Vorher;Nachher
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/kita/;Titel;Hand;;Tanzen im Kindergarten: Projekte in Hannover | Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/kita/;Beschreibung;Hand;;Wir kommen in Ihre Kita: Tanzeinheiten für Vorschulkinder, mit Kindershow als Abschluss. Termine und Umfang nach Absprache.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/bwdanceandfitness/;Titel;Hand;;Linedance & Fitness in Burgwedel | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/bwdanceandfitness/;Beschreibung;Hand;;Linedance und Solotanz für Erwachsene im Tanzhaus Burgwedel — ohne Partner, ohne Vorkenntnisse, erste Stunde kostenlos.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/bwkids/;Titel;Hand;;Kindertanz in Burgwedel: Kids & Teens | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/bwkids/;Beschreibung;Hand;;Kindertanz, Ballett und Teenkurse im Tanzhaus Burgwedel — nach Alter getrennt, mit eigenen Auftritten. Erste Stunde kostenlos.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/bwschuelertanzkurse/;Titel;Hand;;Schülertanzkurse in Burgwedel | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/bwschuelertanzkurse/;Beschreibung;Hand;;Standard, Latein und Discofox für Jugendliche im Tanzhaus Burgwedel, mit Schülerpartys und Diplomprüfung zum Abschluss.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/danceandfitness/;Titel;Hand;;Dance & Fitness in Hannover ab 18 | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/danceandfitness/;Beschreibung;Hand;;Strength & Conditioning, Zumba und Solotanz für Erwachsene in drei Häusern. Ohne Partner, ohne Vorkenntnisse, erste Stunde kostenlos.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/debuetanten/;Titel;Hand;;Opernball Debütanten Hannover: Training | Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/debuetanten/;Beschreibung;Hand;;Vorbereitung auf den Hannoverschen Opernball: Polonaise, Walzer und Umgangsformen. Anmeldung für den Opernball 2027 läuft.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/elterntanz/;Titel;Hand;;Elterntanz in Hannover und Burgwedel | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/elterntanz/;Beschreibung;Hand;;Tanzstunden für Eltern unserer Schülerinnen und Schüler — während die Kinder tanzen, lernen Sie selbst. Eigene Gruppe, eigenes Tempo.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/firmenkurse/;Titel;Hand;;Firmen-Tanzkurse in Hannover buchen | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/firmenkurse/;Beschreibung;Hand;;Tanz und Fitness als Teamevent oder festes Angebot für Mitarbeitende. Termine nach Absprache, auf Wunsch in Ihren Räumen.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/gutschein/;Titel;Hand;;Tanzgutscheine für Hannover verschenken | Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/gutschein/;Beschreibung;Hand;;Gutscheine für alle Kurse in allen drei Tanzhäusern — zu Geburtstag, Konfirmation oder einfach so. Frei wählbarer Betrag.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/hiphopundco/;Titel;Hand;;Hip Hop & Contemporary ab 12 in Hannover | Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/hiphopundco/;Beschreibung;Hand;;Studio B: Hip Hop, Contemporary und Breakdance für Juniors ab 12 und Adults ab 16. Von Old School bis New Style, erste Stunde kostenlos.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/kids2bis11/;Titel;Hand;;Kindertanz in Hannover: 2 bis 11 Jahre | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/kids2bis11/;Beschreibung;Hand;;Von Windelhoppern ab 2 über Kindertanz und Ballett bis Dance4Kids. Kleine Gruppen nach Alter, eigene Auftritte, erste Stunde kostenlos.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/kindergartenprojekte/;Titel;Hand;;Tanzprojekte für Kitas in Hannover | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/kindergartenprojekte/;Beschreibung;Hand;;Kulturelle Bildung im Kita-Alltag: Tanzeinheiten in Ihrer Einrichtung, mit Kindershow zum Abschluss des Projekts.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/paartanz/;Titel;Hand;;Paartanz für Erwachsene in Hannover | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/paartanz/;Beschreibung;Hand;;Standard, Latein, Discofox, Salsa und Hochzeitstanz in drei Häusern. Erste Stunde kostenlos, danach eine Flatrate für alle Kurse deines Levels.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/privatstunden/;Titel;Hand;;Privatstunden Tanzen in Hannover | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/privatstunden/;Beschreibung;Hand;;Einzelunterricht nach Terminabsprache — für Hochzeitspaare, Auffrischer und alle, die schneller vorankommen wollen. In allen drei Häusern.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schuelertanzkurse/;Titel;Hand;;Schülertanzkurse in Hannover ab 2026 | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schuelertanzkurse/;Beschreibung;Hand;;30 Unterrichtseinheiten über zehn Monate: Standard, Latein und Discofox, dazu Schülerpartys, Diplomprüfung und Junioren-Galaball.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schuelertanzkurse4/;Beschreibung;Automat;;Erlebe, wie cool das Tanzen zu zweit sein kann. Deine Tanzschulzeit startet mit dem 15-wöchigen Worlddancing Level 1 .
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schuelertanzkurse4/;Titel;Automat;Tanzschule Familie Bothe - SCHÜLERTANZKURSE;"Schülertanzkurse Bei Bothe &#8211; Enjoy The Party in Hannov"
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schuelertanzkurse_a/;Beschreibung;Automat;;Erlebe, wie viel Spaß Tanzen zu zweit machen kann. Dazu bieten wir dir ein Package, das dich und deine Freunde begeistert: Unser Team zeigt dir zu …
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schuelertanzkurse_a/;Titel;Automat;Tanzschule Familie Bothe | Schülertanzkurse ab 2022;Der Tanzkurs Deines Lebens – Bist Du Dabei? in Hannover | Ta
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schulkooperation/;Titel;Hand;;Tanzprojekte für Schulen in Hannover | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schulkooperation/;Beschreibung;Hand;;Kooperationen mit Schulen: Jugendliche erleben Gesellschaftstanz in parallelen Gruppen, im Unterricht oder als Projektwoche.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schulprojekte/;Beschreibung;Automat;;Der Download der ZIP-Dateien steht nur begrenzt zur Verfügung.
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/schulprojekte/;Titel;Automat;Tanzschule Familie Bothe | Downloadbereich;Donwloadbereich in Hannover | Tanzschule Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/summerdance-erwachsene/;Titel;Hand;;Summer Dance für Erwachsene in Hannover | Bothe
1;Kurs- und Angebotsseite;https://www.tanzschule-bothe.de/summerdance-erwachsene/;Beschreibung;Hand;;Tanzen in den Sommerferien: offene Kurse für Erwachsene ohne feste Bindung, in Hannover und Burgwedel.
