Quelle;Ziel;Typ;Hinweis
/schuelertanzkurse4/;/schuelertanzkurse/;301;Vier Adressen für dasselbe Angebot in Hannover. Vor dem Umlegen prüfen, ob auf den Altseiten Inhalte stehen, die auf die Zielseite gehören.
/schuelertanzkurse_a/;/schuelertanzkurse/;301;Vier Adressen für dasselbe Angebot in Hannover. Vor dem Umlegen prüfen, ob auf den Altseiten Inhalte stehen, die auf die Zielseite gehören.
/schuelertanzkurse2027/;/schuelertanzkurse/;301;Vier Adressen für dasselbe Angebot in Hannover. Vor dem Umlegen prüfen, ob auf den Altseiten Inhalte stehen, die auf die Zielseite gehören.
/bwschuelerkursealt/;/bwschuelertanzkurse/;301;Alte Burgwedeler Schülerkursseite. Gehört auf die aktuelle Burgwedel-Seite, nicht auf die Hannoveraner.
/kita/;/kindergartenprojekte/;301;Beide Seiten beschreiben das Tanzprojekt für Kindergärten.
/summerdance/;/summerdance-erwachsene/;301;/summerdance/ trägt noch die Termine von 2019. Wenn das Ferienprogramm weiterläuft, stattdessen aktualisieren.
/test/;;410;Test- oder Altseite, kein Ziel
/testseite/;;410;Test- oder Altseite, kein Ziel
/xxx_start2/;;410;Test- oder Altseite, kein Ziel
/slider/;;410;Test- oder Altseite, kein Ziel
/voting/;;410;Test- oder Altseite, kein Ziel
/_blog/;;410;Test- oder Altseite, kein Ziel
/_style/;;410;Test- oder Altseite, kein Ziel
/_links/;;410;Test- oder Altseite, kein Ziel
/_menufinder/;;410;Test- oder Altseite, kein Ziel
/dd/;;410;Test- oder Altseite, kein Ziel
/gw/;;410;Test- oder Altseite, kein Ziel
/coronahelden/;;410;Test- oder Altseite, kein Ziel
/funday/;;410;Test- oder Altseite, kein Ziel
